id,sire,dam
47E,K85,S73
47F,I13,X86
53E,S94,L80
90F,F26,N40
92E,I13,V05
27F,H89,B10
59F,J47,X91
64E,A87,J92
54F,O34,T86
00F,O81,R64
64F,O81,J91
57E,L64,O87
63E,D11,K04
44F,839,Z97
41E,I78,C12
23F,C78,Z15
40E,T53,Z53
68E,O81,V04
74E,S78,L66
75E,I78,897
26F,I85,R59
01F,K32,I70
48F,T16,07A
46E,K85,54B
85F,K42,O55
92G,23A,X83
06H,J19,D83
03H,J19,J69
05G,V79,O70
04H,T88,V60
12G,I20,B04
54H,L70,V78
62H,H87,O53
17H,L64,V36
36G,S78,H64
46H,K27,N16
35G,T88,S55
93G,I78,Z52
02H,I78,28A
39G,X94,K07
89G,I78,J66
95G,I78,N20
77H,G62,X33
96F,R70,I68
10H,I78,L19
85G,G62,95A
88G,I78,S97
96G,K85,S54
36H,S78,O36
76G,X16,X28
08G,B07,56A
59H,D78,99A
01H,S78,X60
30G,X79,Z75
84G,N46,T85
90G,S47,H45
05H,X79,O30
35H,T53,N37
16H,K42,R75
38G,R70,Z07
86G,I78,T95
15H,L70,67A
38H,L83,L37
73H,K42,Z51
63G,O19,R61
27G,I85,J92
66G,I52,L49
23G,L64,S16
37G,L83,X78
40H,C99,T86
48G,L64,K11
53G,O19,V80
13H,S76,J41
33H,O49,E04
10G,I47,X86
55G,J21,H74
87G,I78,G68
45G,H90,V65
77G,K85,X91
28H,T53,G17
58G,K01,04A
13G,R70,05A
75H,J81,T03
29H,T53,C63
64H,O08,R27
17G,X94,R68
91F,O19,R68
65H,23A,39A
56H,V79,O75
31H,N46,T83
61G,I85,N12
26G,I37,Z14
45H,O49,869
52G,X94,O87
66H,L22,T12
67G,I47,K04
97G,K85,X37
02G,L43,65A
14G,V79,R64
21G,L43,65A
42G,C78,Z67
60H,O81,V04
25G,K01,R78
18G,I13,T28
44G,F46,O69
00H,I48,I56
93F,O19,L80
94G,O15,X34
99F,O19,19A
51H,I78,K83
09G,I47,Z11
52H,L83,O35
92F,L64,T27
63H,E93,80A
