Find,ID,Year,Group,sdb.ra,vig.ra,sex,age,rank,rank2,rc,outdeg.grm,indeg.grm,eigen.pr,betw.pr,outdeg.agg,indeg.agg
16R|2015,16R,2015,KK,18.22,166.89,Male,13.1,80,45,0.851727771,3.846,0.277,0.06,0.016,0.004,0.007
19A|2015,19A,2015,KK,33.42,225.33,Female,22.9,42.8571,70.7692,0.880152192,0.992,1.864,0.026,0.01,0.004,0.011
24V|2015,24V,2015,KK,23.04,195.88,Female,11.1,94.2857,97.1429,0.884512134,2.346,0.438,0.398,0.032,0.021,0.007
2D0|2015,2D0,2015,KK,20.91,142.18,Male,8.2,60,90,0.846954053,2.64,2.4,0.005,0.003,0.018,0.004
3F5|2015,3F5,2015,KK,29.77,191.76,Female,7.1,45.7143,42.8571,0.855798553,0.213,0.92,0.022,0.005,0.007,0.014
3F7|2015,3F7,2015,KK,12.54,126.21,Female,7.3,62.8571,77.1429,0.656245904,0.808,3.155,0.154,0.022,0,0.007
4D8|2015,4D8,2015,KK,16.43,147.01,Female,8.3,74.2857,71.4286,0.841691684,2.476,1.818,0.138,0.003,0.011,0.014
4F1|2015,4F1,2015,KK,13.95,169.71,Female,7.2,80,74.2857,0.813350763,0.607,3.399,0.105,0.019,0.004,0.018
53E|2015,53E,2015,KK,31.5,232.87,Female,18.9,19.1781,38.2353,0.866954352,,,,,,
60R|2015,60R,2015,KK,17.21,152.12,Female,13.1,68.5714,91.4286,0.784868477,0,0.27,0.02,0.01,0.004,0.004
64S|2015,64S,2015,KK,36.46,199.54,Male,12.2,25,30,0.935688098,1.68,0.336,0.004,0.003,0.007,0.007
6C2|2015,6C2,2015,KK,22.36,157.99,Female,9.3,60,68.5714,0.755575492,0.956,1.282,0.072,0.031,0.008,0.014
6D4|2015,6D4,2015,KK,35.39,195.29,Female,8.2,28.5714,11.4286,0.941546603,1.875,0.144,0.031,0.018,0,0.018
73Z|2015,73Z,2015,KK,33.3,274.33,Male,10.2,35,15,0.90866757,0.409,3.457,0.02,0.022,0.019,0.004
76J|2015,76J,2015,KK,18.98,211.6,Female,16,77.1429,45.7143,0.699259823,2.896,1.059,0.117,0.006,0.004,0.014
86Z|2015,86Z,2015,KK,27.39,226.68,Female,10.2,71.4286,57.1429,0.656578705,0.341,2.409,0.105,0.025,0.007,0.007
1C5|2015,1C5,2015,KK,24.66,224.75,Female,9.2,2.8571,25.7143,0.928269831,3.412,0.093,0.014,0.002,0.004,0.004
0B6|2015,0B6,2015,KK,26.35,156.57,Female,10.2,85.7143,88.5714,0.841053182,0.259,1.401,0.21,0.017,0.014,0.004
11Z|2015,11Z,2015,KK,27.46,195.24,Male,11.2,20,35,0.933862137,2.826,0.257,0.028,0.007,0.004,0.007
1C7|2015,1C7,2015,KK,15.7,125.27,Female,9.2,40,31.4286,0.699407291,2.856,1.967,0.024,0.014,0,0.011
1E2|2015,1E2,2015,KK,21.52,148.43,Female,8.3,88.5714,80,0.841632103,,,,,,
27N|2015,27N,2015,KK,25.45,167.25,Male,15,85,75,0.843303119,0.491,3.882,0.183,0.024,0.025,0.004
2C4|2015,2C4,2015,KK,24.67,165.24,Female,9.2,54.2857,65.7143,0.841944414,1.304,0.582,0.049,0.002,0.004,0.015
46Z|2015,46Z,2015,KK,27.06,160.58,Male,10.1,65,60,0.81059501,0.643,0.555,0.029,0.01,0.022,0
49V|2015,49V,2015,KK,22.83,179.92,Female,11.2,5.7143,5.7143,0.870962514,0.384,4.256,0.066,0.042,0,0
94H|2015,94H,2015,KK,19.31,206.42,Male,17.1,95,70,0.881989611,0.399,1.649,0.357,0.006,0.032,0.004
97Z|2015,97Z,2015,KK,30.87,201.25,Male,10.3,40,65,0.861993645,2.337,3.102,0.016,0.007,0.022,0.011
9C8|2015,9C8,2015,KK,44.06,234.66,Male,8.2,10,10,0.894059008,0.937,0.11,0.027,0.027,0,0.007
0C7|2015,0C7,2015,KK,27.24,209.68,Male,9.3,30,55,0.872526863,0.342,0.557,0.012,0.022,0.007,0.004
27J|2015,27J,2015,KK,23.41,182.06,Male,17.1,75,80,0.824797428,0.158,2.677,0.04,0.006,0.032,0.007
2F2|2015,2F2,2015,KK,43.9,181.03,Female,7.3,22.8571,60,0.61340472,1.134,0.579,0.045,0.013,0.004,0.004
3G3|2015,3G3,2015,KK,29.75,190.52,Female,6.4,20,48.5714,0.627382421,4.495,2.067,0.045,0.018,0.004,0.014
6B8|2015,6B8,2015,KK,20.05,180.15,Male,9.2,50,,,0,0,0.007,0.002,0.004,0
7F0|2015,7F0,2015,KK,30.79,193.75,Female,7.4,0,34.2857,0.742023377,1.102,1.355,0.04,0.017,0,0.007
98Z|2015,98Z,2015,KK,41.26,206.31,Male,10.2,15,40,0.894340691,1.025,0,0.01,0.006,0.011,0.011
9H9|2015,9H9,2015,KK,26.86,117.33,Female,6.4,25.7143,20,0.895677655,1.23,0.751,0.016,0.005,0.004,0.011
51J|2015,51J,2015,KK,28.43,155.9,Male,16.1,45,25,0.882639295,2.281,2.736,0.105,0.048,0.004,0.007
2C3|2015,2C3,2015,KK,16.49,202.09,Female,9.3,82.8571,94.2857,0.813420394,2.614,1.628,0.132,0.009,0.007,0.007
44V|2015,44V,2015,KK,19.49,202.74,Female,11.1,17.1429,62.8571,0.69922016,3.728,6.722,0.049,0.023,0,0.004
51V|2015,51V,2015,KK,27.1,191.58,Female,11.4,34.2857,28.5714,0.912026986,2.711,1.357,0.04,0.02,0,0.011
56K|2015,56K,2015,KK,31.57,119.42,Male,16.2,90,95,0.889999999,1.963,3.764,0.215,0.012,0.011,0.007
62R|2015,62R,2015,KK,10.94,116.07,Female,13.2,91.4286,82.8571,0.841892149,3.633,1.683,0.426,0.013,0.011,0.018
6D6|2015,6D6,2015,KK,18.89,166.6,Female,8.4,65.7143,54.2857,0.784904259,1.865,0.692,0.037,0.007,0.011,0.014
6D9|2015,6D9,2015,KK,34.58,210.49,Female,8.3,51.4286,51.4286,0.85544443,0.492,0.819,0.046,0.019,0.011,0.029
83Z|2015,83Z,2015,KK,10.26,283.9,Female,10.2,48.5714,85.7143,0.727542168,2.639,0.103,0.113,0.026,0.004,0.004
93O|2015,93O,2015,KK,22.29,163.6,Female,14.3,31.4286,17.1429,0.92752782,3.775,1.646,0.06,0.028,0.007,0.004
99L|2015,99L,2015,KK,27.71,189.36,Male,15.1,70,85,0.834178661,0.261,2.65,0.069,0.04,0.043,0.007
9C5|2015,9C5,2015,KK,16.3,149.82,Female,8.4,11.4286,8.5714,0.885123216,0,0,0.066,0.008,0,0.016
25P|2015,25P,2015,KK,17.42,181.38,Female,14.3,8.5714,22.8571,0.909592158,0.161,0,0.032,0.006,0,0.04
37V|2015,37V,2015,KK,35.54,235.47,Female,11.4,37.1429,40,0.727145064,3.14,1.013,0.035,0.013,0.007,0
55J|2015,55J,2015,KK,20.09,161.12,Female,16.4,14.2857,14.2857,0.899496827,0.183,0.416,0.077,0.035,0.004,0.004
5H4|2015,5H4,2015,KK,15.18,108.76,Female,6.6,100,100,0.955563794,2.763,4.687,0.457,0.007,0.014,0.004
6F1|2015,6F1,2015,KK,35.21,187.78,Male,7.2,55,50,0.856357416,1.638,3.287,0.027,0.014,0.007,0.014
6A9|2015,6A9,2015,KK,23.4,181.92,Male,10.7,0,20,0.879967964,,,,,,
60E|2015,60E,2015,KK,32.3,168.04,Male,19.5,5,35.2941,0.690565671,,,,,,
00J|2014,00J,2014,F,24.91,154.65,Female,15.9,25.6757,32.8767,0.959810285,0.436,0.805,0.008,0.018,0.007,0.007
00O|2014,00O,2014,F,14.9,264.85,Female,14.3,58.1081,100,0.958705018,2.995,2.142,0.025,0.026,0.003,0.003
03J|2014,03J,2014,F,25.58,166.28,Female,16.2,31.0811,5.4795,0.855960412,0.89,0.961,0.003,0.029,0.002,0.002
07D|2014,07D,2014,F,13,224.01,Male,19.2,100,93.4783,0.922166376,0.842,3.328,0.261,0.029,0.006,0.006
0B8|2014,0B8,2014,F,41.95,140.28,Male,9.3,84.6154,76.087,0.932993623,1.681,0.819,0.036,0.017,0.002,0.002
0G5|2014,0G5,2014,F,21.12,103.09,Female,6.4,97.2973,97.2603,0.979086595,,,,,,
1C0|2014,1C0,2014,F,26.34,168.76,Female,8.3,62.1622,65.7534,0.886936425,0.937,2.484,0.065,0.015,0.005,0.005
20F|2014,20F,2014,F,10.22,152.69,Female,18.1,41.8919,15.0685,0.935349125,0.768,0.478,0.034,0.015,0.005,0.005
24B|2014,24B,2014,F,12.79,176.97,Female,21.2,6.7568,9.589,0.909682896,1.082,2.287,0.004,0.022,0.004,0.004
28B|2014,28B,2014,F,13.45,108.03,Male,21.1,71.7949,91.3043,0.913003196,0,0,0.008,0.001,0.005,0.005
30C|2014,30C,2014,F,30.13,128.11,Male,20.1,92.3077,97.8261,0.922220796,1.28,0.509,0.037,0.011,0,0
32S|2014,32S,2014,F,17.96,240.34,Female,12.3,60.8108,54.7945,0.893515749,2.141,0.457,0.071,0.021,0.006,0.006
34N|2014,34N,2014,F,26.67,162.14,Female,14.2,45.9459,45.2055,0.913877393,0.212,0.2,0.029,0.048,0.007,0.007
36Z|2014,36Z,2014,F,42.21,180.35,Female,10.1,22.973,39.726,0.928079147,1.311,0.26,0.014,0.011,0.003,0.003
3E4|2014,3E4,2014,F,26.25,196.34,Male,7.2,64.1026,63.0435,0.881321903,0.544,1.22,0.005,0.002,0.009,0.009
42T|2014,42T,2014,F,24.23,269.99,Male,11.2,74.359,84.7826,0.922211892,2.269,1.676,0.02,0.027,0.003,0.003
43V|2014,43V,2014,F,41.38,289.66,Male,10.2,33.3333,100,0.85745459,,,,,,
4C1|2014,4C1,2014,F,12.46,81.7,Female,8.4,93.2432,94.5205,0.978351472,2.54,2.908,0.325,0.022,0.002,0.002
4C2|2014,4C2,2014,F,20.74,214.44,Female,8.4,24.3243,36.9863,0.923216164,2.72,0.562,0.021,0.05,0.005,0.005
50S|2014,50S,2014,F,12.24,136.67,Female,11.4,68.9189,71.2329,0.883982752,0.166,0.395,0.04,0.005,0.008,0.008
56E|2014,56E,2014,F,23.47,211.9,Female,18.1,56.7568,52.0548,0.914350351,1.121,0.616,0.025,0.009,0.007,0.007
5C0|2014,5C0,2014,F,9.17,160.94,Female,8.3,95.9459,95.8904,0.983964939,3.488,2.21,0.234,0.009,0.009,0.009
60T|2014,60T,2014,F,27.13,126.15,Male,11.3,69.2308,80.4348,0.962942545,1.126,1.013,0.02,0.003,0.003,0.003
61J|2014,61J,2014,F,22.49,181.75,Female,15,47.2973,68.4932,0.892755133,1.5,0.075,0.021,0.038,0.016,0.016
62V|2014,62V,2014,F,20.64,146.33,Female,10.3,21.6216,16.4384,0.928025334,0.203,0.264,0.002,0.004,0.008,0.008
63V|2014,63V,2014,F,26.84,121.11,Female,10.3,37.8378,53.4247,0.905636126,1.459,1.362,0.073,0.028,0.001,0.001
7B2|2014,7B2,2014,F,18.18,184.7,Male,8.4,48.7179,56.5217,0.891478267,0.721,0,0.008,0.01,0.015,0.015
7B7|2014,7B7,2014,F,28.51,119.68,Female,8.3,36.4865,1.3699,0.943449282,1.893,0.682,0.033,0.01,0.005,0.005
7C0|2014,7C0,2014,F,21.68,102.23,Female,8.3,72.973,75.3425,0.898169106,0.985,0.434,0.05,0.006,0,0
7E1|2014,7E1,2014,F,35.47,251.23,Male,6.4,66.6667,69.5652,0.915991442,3.954,2.09,0.001,0.003,0.015,0.015
87K|2014,87K,2014,F,30.85,156.39,Female,15.3,33.7838,30.137,0.951618592,0.703,0.061,0.019,0.007,0.002,0.002
8B0|2014,8B0,2014,F,17.46,180.84,Female,8.4,63.5135,58.9041,0.902863563,2.246,0.545,0.079,0.009,0.001,0.001
8C0|2014,8C0,2014,F,34.75,265.06,Male,7.4,58.9744,54.3478,0.895219249,1.533,1.298,0.018,0.011,0.005,0.005
8E8|2014,8E8,2014,F,31.82,165.39,Female,6.3,39.1892,43.8356,0.912392718,0.513,0.108,0.001,0.004,0.005,0.005
8F3|2014,8F3,2014,F,19.68,235.38,Female,6.3,1.3514,2.7397,0.937764846,1.019,1.145,0.018,0.009,0.001,0.001
92D|2014,92D,2014,F,23.22,141.81,Female,19.2,82.4324,82.1918,0.944268118,0.059,1.189,0.003,0.002,0,0
93Z|2014,93Z,2014,F,25.12,163.47,Female,9.2,27.027,23.2877,0.855878356,2.573,0.277,0.001,0.003,0.002,0.002
96B|2014,96B,2014,F,11.18,181.29,Male,20.2,87.1795,86.9565,0.931467814,3.649,2.703,0.057,0.005,0.011,0.011
98T|2014,98T,2014,F,16.95,159.11,Female,10.1,87.8378,84.9315,0.947702398,1.154,1.47,0.149,0.044,0.012,0.012
9D1|2014,9D1,2014,F,24.63,132.98,Male,7.4,82.0513,71.7391,0.965899759,0.391,4.041,0.08,0.018,0.01,0.01
9D8|2014,9D8,2014,F,18.08,112.84,Female,7.3,91.8919,80.8219,0.934306286,0.622,2.981,0.204,0.034,0.003,0.003
9F5|2014,9F5,2014,F,27.06,271.15,Male,6.5,53.8462,65.2174,0.959407575,0,0,0,0,0.005,0.005
O52|2014,O52,2014,F,18.74,148.7,Female,26.1,74.3243,10.9589,0.841208233,0.375,0.485,0.046,0.017,0.006,0.006
35N|2014,35N,2014,F,13.3,176.69,Female,14.2,10.8108,47.9452,0.92296765,0.397,1.242,0.01,0.019,0.001,0.001
55V|2014,55V,2014,F,15.53,230.62,Female,10.2,44.5946,50.6849,0.904031595,0.317,0.094,0.033,0.019,0.009,0.009
04I|2014,04I,2014,F,19.55,109.68,Male,16.2,89.7436,89.1304,0.922161157,0.914,1.676,0.024,0.014,0.001,0.001
04N|2014,04N,2014,F,20.71,102.45,Female,14,86.4865,76.7123,0.925600532,3.705,0.732,0.143,0.01,0.002,0.002
0A4|2014,0A4,2014,F,15.39,213.89,Female,9.4,77.027,67.1233,0.892188357,0,0.832,0.099,0.007,0.015,0.015
0A9|2014,0A9,2014,F,31.62,128.01,Female,9.2,18.9189,41.0959,0.933420622,2.111,0.568,0.022,0.003,0.007,0.007
0F7|2014,0F7,2014,F,13.02,84.63,Male,6.3,23.0769,23.913,0.814736845,,,,,,
12Z|2014,12Z,2014,F,24.32,190.43,Male,10.3,76.9231,78.2609,0.925180491,0.13,2.155,0.01,0.017,0.005,0.005
28J|2014,28J,2014,F,12.03,123.14,Female,16,8.1081,19.1781,0.9240887,0.118,0.686,0.005,0.013,0.006,0.006
29B|2014,29B,2014,F,35.18,119.8,Female,21.2,20.2703,17.8082,0.932418848,0.051,1.633,0.004,0.005,0.01,0.01
29H|2014,29H,2014,F,18.78,202.95,Male,17.1,46.1538,73.913,0.876640514,0.374,0.536,0.017,0.011,0.005,0.005
2A2|2014,2A2,2014,F,17.95,193.96,Female,9.3,5.4054,6.8493,0.926803007,1.895,1.929,0.012,0.045,0.004,0.004
2A8|2014,2A8,2014,F,16.08,94.41,Female,9.4,64.8649,73.9726,0.883676698,1.343,1.56,0.149,0.015,0.006,0.006
3B9|2014,3B9,2014,F,73.37,197.95,Male,8.4,61.5385,58.6957,0.934383002,0.344,0.318,0.008,0,0.009,0.009
3C3|2014,3C3,2014,F,31.83,148.56,Female,8.3,40.5405,38.3562,0.921083638,0,0.054,0.018,0.015,0.005,0.005
3E2|2014,3E2,2014,F,16.3,182.24,Female,7.4,85.1351,87.6712,0.945458663,1.525,2.376,0.142,0.015,0.007,0.007
40L|2014,40L,2014,F,12.7,166.27,Female,14.2,51.3514,56.1644,0.88874316,0,0.45,0.05,0.013,0.005,0.005
42L|2014,42L,2014,F,27.04,104.37,Female,14.2,32.4324,20.5479,0.868580294,1.522,3.889,0.009,0.014,0.001,0.001
43F|2014,43F,2014,F,13.25,158.95,Female,18.2,100,98.6301,0.984731586,4.57,6.555,0.383,0.017,0.007,0.007
43J|2014,43J,2014,F,11.01,160.66,Female,16.2,94.5946,93.1507,0.978350676,2.076,1.991,0.394,0.016,0.009,0.009
44J|2014,44J,2014,F,21.81,164.51,Female,16.3,66.2162,72.6027,0.882952376,2.09,0.948,0.089,0.013,0.009,0.009
50I|2014,50I,2014,F,28.86,138.32,Female,16.2,48.6486,63.0137,0.894711032,0.787,0.608,0.036,0.011,0.008,0.008
52P|2014,52P,2014,F,17.12,157.59,Female,13.2,4.0541,12.3288,0.937140564,0.829,0,0.002,0.003,0.003,0.003
57H|2014,57H,2014,F,15.02,181.37,Female,17,52.7027,60.274,0.897833,0.8,1.179,0.019,0.003,0.006,0.006
59A|2014,59A,2014,F,8.94,176.85,Female,21.3,75.6757,78.0822,0.897769284,0.624,1.727,0.06,0.026,0.007,0.007
5B0|2014,5B0,2014,F,29.86,201.72,Male,8.2,28.2051,28.2609,0.901328691,0.681,0.114,0.001,0.001,0.006,0.006
60P|2014,60P,2014,F,39.58,179.03,Female,13.2,83.7838,91.7808,0.964734861,1.38,1.614,0.058,0.006,0.003,0.003
62H|2014,62H,2014,F,24.55,198.05,Female,17.2,78.3784,89.0411,0.954147082,1.075,0.877,0.037,0.02,0.005,0.005
64D|2014,64D,2014,F,19.47,254.53,Female,18.9,54.0541,27.3973,0.92875418,0.867,0.311,0,0,0.001,0.001
64P|2014,64P,2014,F,15.52,97.17,Female,13.2,79.7297,69.863,0.898890417,0.98,0.241,0.072,0.029,0.008,0.008
68V|2014,68V,2014,F,15.88,255.51,Female,10.2,12.1622,4.1096,0.937058044,1.527,1.556,0.006,0.011,0.015,0.015
6C0|2014,6C0,2014,F,31.7,169.58,Female,8,89.1892,90.411,0.977778287,3.752,3.365,0.231,0.01,0.005,0.005
78T|2014,78T,2014,F,23.94,266.38,Female,11.2,17.5676,42.4658,0.933235274,1.152,2.713,0.001,0.012,0.003,0.003
79Z|2014,79Z,2014,F,18.04,211.23,Female,9.3,55.4054,49.3151,0.91108585,0.432,0.196,0.02,0.008,0.008,0.008
7B3|2014,7B3,2014,F,19.49,292.42,Male,8.4,5.1282,32.6087,0.814976944,,,,,,
7D7|2014,7D7,2014,F,39.53,234.15,Male,7.4,12.8205,13.0435,0.866636446,0.119,1.051,0,0,0.004,0.004
7D8|2014,7D8,2014,F,18.25,182.19,Female,7.4,67.5676,79.4521,0.903692561,1.08,1.622,0.053,0.02,0.002,0.002
82A|2014,82A,2014,F,16.46,148.36,Female,21.1,90.5405,86.3014,0.960168047,3.149,2.342,0.21,0.02,0.004,0.004
82L|2014,82L,2014,F,20.82,204.12,Female,14.1,70.2703,61.6438,0.882719496,1.029,0.588,0.089,0.027,0.01,0.01
88T|2014,88T,2014,F,30.35,241.42,Male,10.3,30.7692,45.6522,0.917703701,,,,,,
8B5|2014,8B5,2014,F,13.48,377.53,Male,8.3,2.5641,95.6522,0.912520578,,,,,,
9A4|2014,9A4,2014,F,14.77,186.25,Female,9.4,9.4595,21.9178,0.950441194,1.731,0,0.011,0.024,0.004,0.004
9C2|2014,9C2,2014,F,33.29,207.21,Female,7.4,29.7297,35.6164,0.931423972,2.406,1.697,0.001,0.011,0.008,0.008
9E5|2014,9E5,2014,F,27.75,253.46,Male,6.4,56.4103,60.8696,0.925221317,1.572,2.2,0.009,0.013,0.008,0.008
9E6|2014,9E6,2014,F,50.27,216.91,Male,6.4,41.0256,50,0.895606786,0,0,0,0,0.006,0.006
K00|2014,K00,2014,F,19.05,162.46,Female,28.1,81.0811,83.5616,0.937750115,0.164,0,0.007,0.002,0,0
1A3|2014,1A3,2014,F,31.24,170.15,Female,9.3,43.2432,46.5753,0.905563851,0.157,1.392,0.014,0.028,0.006,0.006
29Z|2014,29Z,2014,F,15.08,224.18,Female,10.2,14.8649,26.0274,0.943303113,2.614,0.752,0.002,0.017,0.006,0.006
2A7|2014,2A7,2014,F,27.44,204.11,Female,9.4,50,34.2466,0.923006245,0,0,0.042,0.011,0.006,0.006
2C9|2014,2C9,2014,F,24.08,202.48,Male,8.4,15.3846,21.7391,0.898088743,0,0,0,0,0.007,0.007
43P|2014,43P,2014,F,16.3,186.4,Male,13.1,94.8718,67.3913,0.978421892,0.922,3.338,0.322,0.007,0.002,0.002
6B2|2014,6B2,2014,F,24.06,300.58,Male,8.4,17.9487,30.4348,0.867183275,0.487,1.983,0.005,0.016,0.009,0.009
6F2|2014,6F2,2014,F,22,126.49,Female,6.4,71.6216,57.5342,0.899213125,1.453,0.681,0.022,0.018,0.006,0.006
90D|2014,90D,2014,F,17.33,220.51,Female,19.1,59.4595,64.3836,0.881973853,0.585,1.543,0.021,0.013,0.003,0.003
9E3|2014,9E3,2014,F,65.45,196.36,Male,6.3,0,,,,,,,,
1F2|2014,1F2,2014,F,25.48,274.03,Male,6.3,7.6923,19.5652,0.866367026,0.188,0,0.016,0.005,0.002,0.002
5E1|2014,5E1,2014,F,19.78,239.53,Male,6.5,79.4872,82.6087,0.931406238,1.102,1,0.01,0.004,0.007,0.007
0C6|2014,0C6,2014,F,32.31,157.97,Female,8.2,35.1351,31.5068,0.929947137,0.183,2.066,0.005,0.024,0.002,0.002
2A5|2014,2A5,2014,F,22.52,134.42,Female,9.2,2.7027,13.6986,0.933296358,1.031,0,0,0.003,0.003,0.003
8C3|2014,8C3,2014,F,35.49,160.26,Male,7.4,43.5897,17.3913,0.791035587,0.877,0.357,0,0,0.002,0.002
57F|2014,57F,2014,F,27.45,134.26,Male,18.3,51.2821,41.3043,0.902575864,0,0,0,0,0.003,0.003
30L|2014,30L,2014,F,34.44,240.29,Male,14.3,20.5128,47.8261,0.885750117,0.108,0,0,0,0.006,0.006
18Z|2014,18Z,2014,F,17.8,215.66,Male,10.2,35.8974,43.4783,0.902364336,0,0.269,0.011,0.013,0.002,0.002
17L|2014,17L,2014,F,16.26,279.37,Male,15.2,10.2564,4.3478,0.876761737,0,0,0,0.002,0.002,0.002
6C3|2014,6C3,2014,F,26.29,177.75,Female,8.6,13.5135,8.2192,0.862791646,,,,,,
0E3|2014,0E3,2014,F,45,155.68,Male,7.6,25.641,39.1304,0.823900378,,,,,,
72T|2014,72T,2014,F,44.92,168.22,Male,11.4,38.4615,52.1739,0.915770198,1.11,0.052,0.011,0,0.013,0.013
3E7|2014,3E7,2014,F,17.8,154.57,Female,7.6,16.2162,28.7671,0.930048335,0.887,1.281,0.001,0.001,0.003,0.003
39B|2014,39B,2014,F,92.31,200,Female,21.4,50,,,,,,,,
07D|2015,07D,2015,F,26.37,325.44,Male,20.1,100,,,0.066,3.405,0.14,0.003,0.017,0
0I5|2015,0I5,2015,F,60.91,232.95,Female,6.3,64.3836,50,0.832622063,1.09,1.086,0.039,0.023,0.002,0.008
12Z|2015,12Z,2015,F,32.24,315.51,Male,11.2,75,46.1538,0.627296466,0.631,0.77,0.01,0.004,0.006,0.002
1H9|2015,1H9,2015,F,59.42,89.13,Male,6.2,29.1667,,,,,,,,
20F|2015,20F,2015,F,36.79,247.91,Female,19,41.0959,16.1765,0.756227464,1.884,0.944,0.088,0.018,0,0.004
24B|2015,24B,2015,F,26.09,291.3,Female,22.1,8.2192,48.5294,0.892022712,1.354,4.122,0.016,0.019,0,0.013
28G|2015,28G,2015,F,23.92,55.81,Female,18,0,,,,,,,,
28J|2015,28J,2015,F,19.91,228.65,Female,16.9,10.9589,44.1176,0.877092255,2.643,2.228,0.02,0.012,0,0.004
29B|2015,29B,2015,F,63.02,229.79,Female,22.1,24.6575,63.2353,0.816565032,0,0.6,0.015,0.011,0.004,0.004
2A5|2015,2A5,2015,F,41.16,241.09,Female,10.1,4.1096,64.7059,0.884729148,2.183,0.711,0.008,0.01,0.002,0.006
30C|2015,30C,2015,F,48.78,232.84,Male,21,93.75,100,0.909438389,1.054,0.576,0.059,0.029,0,0
30L|2015,30L,2015,F,64.45,254.05,Male,15.1,43.75,25.641,0.703823017,0.541,0.478,0.002,0.006,0.013,0.002
35N|2015,35N,2015,F,46.22,236.47,Female,15.1,15.0685,45.5882,0.86570602,0.995,2.254,0.018,0.017,0.002,0.009
3E2|2015,3E2,2015,F,33.04,132.63,Female,8.3,84.9315,25,0.818841269,3.874,2.833,0.193,0.032,0,0.002
3E4|2015,3E4,2015,F,62.33,257.18,Male,8.1,62.5,61.5385,0.767784479,0.235,0.404,0.014,0.008,0.011,0.006
43F|2015,43F,2015,F,23.94,148.51,Female,19.1,100,97.0588,0.984948853,2.579,4.012,0.317,0.012,0.008,0.002
43P|2015,43P,2015,F,22.48,114.26,Male,14,95.8333,66.6667,0.563459558,1.525,5.877,0.388,0.003,0.004,0
50I|2015,50I,2015,F,23.21,221.95,Female,17.1,57.5342,55.8824,0.834523824,2.004,2.159,0.022,0.028,0.002,0.006
59A|2015,59A,2015,F,27.77,193.51,Female,22.2,78.0822,88.2353,0.894812929,2.434,2.141,0.138,0.004,0.006,0
5B0|2015,5B0,2015,F,30.83,499.99,Male,9.1,50,30.7692,0.704262609,0,0,0.003,0.009,0.013,0
64P|2015,64P,2015,F,26.97,191.43,Female,14.1,82.1918,60.2941,0.833812185,0.65,1.28,0.046,0.007,0.002,0.008
7D8|2015,7D8,2015,F,36.95,224.4,Female,8.3,76.7123,82.3529,0.878191195,1.489,0,0.069,0.049,0.009,0.006
82A|2015,82A,2015,F,43.74,232.74,Female,22,90.411,92.6471,0.92612281,0.918,2.24,0.126,0.005,0.002,0.01
82L|2015,82L,2015,F,68.17,229.11,Female,15,69.863,52.9412,0.817691312,0,2.8,0.03,0.013,0.006,0.002
8C3|2015,8C3,2015,F,66.85,298.73,Male,8.2,66.6667,23.0769,0.755156075,1.934,0.828,0.012,0.008,0.006,0
98T|2015,98T,2015,F,35.45,203.39,Female,11,87.6712,75,0.850319294,1.421,1.745,0.113,0.017,0.009,0.011
9F5|2015,9F5,2015,F,45.79,284.74,Male,7.4,68.75,76.9231,0.716461403,0,0.87,0.009,0.004,0.017,0
9H7|2015,9H7,2015,F,59.77,264.78,Female,6.3,56.1644,29.4118,0.900802566,1.599,1.398,0.062,0.01,0.002,0.011
00O|2015,00O,2015,F,73.81,339.77,Female,15.2,63.0137,26.4706,0.829939594,2.364,2.529,0.039,0.017,0,0.007
04N|2015,04N,2015,F,37.8,216.07,Female,14.9,86.3014,23.5294,0.846198246,4.907,1.839,0.104,0.013,0.004,0.006
0A9|2015,0A9,2015,F,67.83,306.09,Female,10.1,23.2877,69.1176,0.845003283,1.442,1.607,0.023,0.008,0.002,0.009
1A3|2015,1A3,2015,F,24.88,241.87,Female,10.2,45.2055,10.2941,0.866808929,0.584,0.041,0.006,0.015,0,0.002
1C0|2015,1C0,2015,F,40.99,268.28,Female,9.2,67.1233,67.6471,0.827212498,0.454,0.127,0.066,0.048,0.006,0.007
28B|2015,28B,2015,F,18.11,175.93,Male,22,85.4167,84.6154,0.858106964,0,0,0.005,0,0.006,0
29H|2015,29H,2015,F,39.24,321.74,Male,18,47.9167,56.4103,0.538377188,,,,,,
29Z|2015,29Z,2015,F,41.65,258.45,Female,11.1,13.6986,36.7647,0.850014095,7.43,0.627,0.004,0.009,0.002,0.016
2A7|2015,2A7,2015,F,49.41,355.24,Female,10.3,58.9041,79.4118,0.835614389,0.29,0.146,0.037,0.003,0.004,0.008
2A8|2015,2A8,2015,F,61.29,328.07,Female,10.3,71.2329,72.0588,0.840203496,2.223,1.223,0.07,0.023,0.009,0.008
2C9|2015,2C9,2015,F,63.11,231.63,Male,9.3,33.3333,58.9744,0.525632484,2.62,0.834,0,0,0,0
32S|2015,32S,2015,F,37.8,232.22,Female,13.2,65.7534,80.8824,0.874729261,0,0.168,0.064,0.015,0.006,0.004
3E7|2015,3E7,2015,F,32.32,227.37,Female,8.2,20.5479,33.8235,0.8321922,0.689,1.052,0.003,0.012,0.008,0.009
56E|2015,56E,2015,F,64.32,223.93,Female,19,53.4247,73.5294,0.550171157,0.134,0.76,0.059,0.015,0.004,0
