Find,ID,Year,Group,sdb.ra,vig.ra,sex,age,rank,rank2,rc,outdeg.grm,indeg.grm,eigen.pr,betw.pr,outdeg.agg,indeg.agg
V36|2010,V36,2010,F,30.7,,Female,20.5,89.6552,82.7586,0.918526936,2.799,1.852,0.09,0.016,0.066,0.013
24B|2010,24B,2010,F,21.37,,Female,17.8,81.0345,65.5172,0.861394216,2.494,0.688,0.133,0.005,0.027,0.022
74S|2010,74S,2010,F,24.35,,Female,7.8,1.7241,5.1724,0.917747174,0,0.368,0.09,0.018,0,0.04
T53|2010,T53,2010,F,37.65,,Male,20.7,0,6.4516,0.901023268,0.994,0.302,0.002,0,0,0.014
31I|2010,31I,2010,F,24.98,,Male,12.7,21.875,25.8065,0.945771435,0.21,0.064,0.007,0.019,0.011,0.026
31S|2010,31S,2010,F,42.53,,Male,8.9,25,35.4839,0.940380382,0.366,0.994,0.012,0.022,0.014,0.022
34P|2010,34P,2010,F,34.39,,Male,9.8,40.625,58.0645,0.847209136,0.069,0.147,0.03,0.013,0.018,0.007
84J|2010,84J,2010,F,25.7,,Male,11.8,12.5,12.9032,0.931635465,0.064,0,0.008,0,0.01,0.03
28N|2010,28N,2010,F,21,,Female,10.9,27.5862,20.6897,0.885660302,0.149,0,0.054,0.005,0.011,0.038
55V|2010,55V,2010,F,19.49,,Female,6.9,29.3103,25.8621,0.872161376,1.769,1.042,0.196,0.014,0.023,0.04
56E|2010,56E,2010,F,50.38,,Female,14.7,44.8276,34.4828,0.872228808,0,0.409,0.054,0.018,0.004,0.003
N12|2010,N12,2010,F,25.4,,Female,23.8,87.931,93.1034,0.916531151,1.127,1.197,0.148,0.009,0.034,0.011
68V|2010,68V,2010,F,22.7,,Female,6.8,86.2069,79.3103,0.920781478,2.047,0.937,0.192,0.006,0.016,0.006
00O|2011,00O,2011,F,44.87,,Female,11.3,35.2941,69.1176,0.833025293,3.822,0.943,0.162,0.013,0.022,0.027
07D|2011,07D,2011,F,38.98,,Male,16.2,93.3333,80.4878,0.880594911,2.02,1.906,0.182,0.014,0.178,0.002
2A8|2011,2A8,2011,F,55.3,,Female,6.4,42.6471,20.5882,0.930846027,1.605,1.094,0.135,0.023,0.004,0.044
30C|2011,30C,2011,F,56.79,,Male,17.2,88.8889,87.8049,0.939487597,1.519,0.869,0.069,0.034,0.012,0.006
32S|2011,32S,2011,F,20.3,,Female,9.4,39.7059,32.3529,0.894444315,0.823,0.184,0.096,0.013,0.025,0.029
